id,length,wingspan,wingArea,height,engines,thrustPerEngine,mtow,range,cruiseSpeed,capacity,maxCapacity
aero-l-29a-akrobat,10.81,10.29,19.8,3.13,1,8.7,3280,480,0.58,1,1
aero-l-29r,10.81,10.29,19.8,3.13,1,8.7,3280,480,0.58,1,1
aero-l-39c,12.13,9.46,18.8,4.77,1,16.9,4700,540,0.61,2,2
aero-l-39za,12.13,9.46,18.8,4.77,1,16.9,5600,540,0.61,2,2
aero-l-39ng,11.89,9.38,19.0,4.86,1,16.8,5800,1035,0.65,2,2
aerospatiale-concorde-type-1,61.66,25.60,358.2,12.20,4,169.2,185070,3900,2.02,100,128
aerospatiale-concorde-type-2,61.66,25.60,358.2,12.20,4,169.2,185070,3900,2.02,100,128
avro-lancaster-b-mark-i,21.11,31.09,120.5,6.25,4,10.2,30844,2200,0.26,7,7
avro-lancaster-b-mark-iii,21.11,31.09,120.5,6.25,4,10.2,30844,2200,0.26,7,7
avro-vulcan-b-1,29.59,30.18,330.2,8.28,4,48.9,77100,2265,0.96,5,5
avro-vulcan-b-2,30.45,33.83,368.3,8.28,4,89.0,92500,2265,0.96,5,5
bae-systems-hawk-t1,11.85,9.39,16.69,3.98,1,23.1,5700,1360,0.85,2,2
bae-systems-hawk-t2,12.43,9.94,16.70,3.98,1,29.0,9100,1360,0.85,2,2
bell-ah-1g-hueycobra,16.10,13.40,0.0,4.10,1,8.0,4300,310,0.18,2,2
bell-ah-1w-supercobra,17.80,14.63,0.0,4.32,2,12.0,6690,317,0.18,2,2
bell-ah-1z-viper,17.80,14.60,0.0,4.37,2,13.0,8390,370,0.19,2,2
bell-uh-1d-iroquois,17.40,14.63,0.0,4.39,1,8.5,4310,276,0.15,14,14
bell-uh-1h-iroquois,17.40,14.63,0.0,4.39,1,10.5,4310,276,0.15,14,14
bell-uh-1y-venom,17.78,14.88,0.0,4.45,2,11.5,8390,323,0.20,10,10
boeing-b-17f-flying-fortress,22.66,31.62,131.9,5.82,4,8.9,29700,1750,0.24,10,10
boeing-b-17g-flying-fortress,22.66,31.62,131.9,5.82,4,8.9,29700,1750,0.24,10,10
boeing-b-29a-superfortress,30.18,43.05,161.3,8.46,4,16.4,60560,3250,0.34,11,11
boeing-b-52d-stratofortress,48.50,56.40,370.0,12.40,8,44.5,204000,4300,0.86,6,6
boeing-b-52g-stratofortress,48.50,56.40,370.0,12.40,8,44.5,219000,6500,0.86,6,6
boeing-b-52h-stratofortress,48.50,56.40,370.0,12.40,8,75.6,219600,7650,0.86,5,5
boeing-ch-47d-chinook,30.10,18.30,0.0,5.70,2,28.0,22680,400,0.17,33,55
boeing-ch-47f-chinook,30.10,18.30,0.0,5.70,2,35.0,22680,400,0.17,33,55
boeing-f-15e-strike-eagle,19.43,13.05,56.5,5.63,2,129.0,36700,2100,2.50,2,2
boeing-f-15ex-eagle-ii,19.43,13.05,56.5,5.63,2,131.0,36700,2100,2.50,2,2
boeing-f-a-18e-super-hornet,18.31,13.62,46.5,4.88,2,97.9,29937,1275,1.60,1,1
boeing-f-a-18f-super-hornet,18.31,13.62,46.5,4.88,2,97.9,29937,1275,1.60,2,2
convair-b-36h-peacemaker,49.40,70.10,443.3,14.22,10,16.0,186000,6000,0.35,15,15
convair-b-36j-peacemaker,49.40,70.10,443.3,14.22,10,16.0,186000,6000,0.35,15,15
douglas-dc-3a,19.70,29.00,91.7,5.16,2,8.9,11430,1300,0.27,21,32
douglas-dc-8-50,45.87,43.41,257.4,13.21,4,80.1,124700,5300,0.82,144,189
eurofighter-typhoon-tranche-1,15.96,10.95,51.2,5.28,2,90.0,23500,1560,2.00,1,1
eurofighter-typhoon-tranche-3a,15.96,10.95,51.2,5.28,2,90.0,23500,1560,2.00,1,1
ilyushin-il-76md,46.59,50.50,300.0,14.76,4,117.7,190000,2400,0.72,140,225
ilyushin-il-96-300,55.35,60.11,350.0,17.55,4,157.0,250000,6200,0.80,262,300
mikoyan-gurevich-mig-21mf,14.50,7.15,23.0,4.12,1,70.0,9400,650,2.05,1,1
mikoyan-gurevich-mig-25pd,23.82,14.01,61.4,6.10,2,100.1,36720,1050,2.83,1,1
north-american-p-51d-mustang,9.83,11.28,21.8,4.08,1,11.1,5490,1450,0.58,1,1
northrop-b-2a-spirit,21.00,52.40,478.0,5.18,4,77.0,170600,6000,0.85,2,2
panavia-tornado-gr4,16.72,13.91,26.6,5.95,2,76.8,28000,2100,2.20,2,2
saab-340b,19.73,21.44,41.8,6.97,2,13.0,13155,935,0.44,34,36
saab-jas-39c-gripen,14.10,8.40,30.0,4.50,1,80.5,14000,1720,2.00,1,1
sikorsky-uh-60m-black-hawk,19.76,16.36,0.0,5.13,2,14.8,9979,320,0.22,11,11
supermarine-spitfire-mk-ix,9.54,11.23,22.5,3.86,1,11.6,3084,380,0.55,1,1
tupolev-tu-95ms,46.20,50.10,310.0,12.12,4,110.0,188000,8100,0.74,7,7
tupolev-tu-154m,48.00,37.55,201.5,11.40,3,103.0,104000,2850,0.80,164,180
tupolev-tu-160m,54.10,55.70,400.0,13.10,4,245.0,275000,6640,2.05,4,4
vought-f4u-1a-corsair,10.15,12.50,29.17,4.60,1,14.9,6590,875,0.58,1,1
