id,length,wingspan,wingArea,height,engines,thrustPerEngine,mtow,range,cruiseSpeed,capacity,maxCapacity
airbus-a220-100,35.00,35.10,112.3,11.50,2,106.3,63100,3450,0.78,110,135
airbus-a220-300,38.70,35.10,112.3,11.50,2,106.3,70900,3400,0.78,130,160
airbus-a300b2,53.62,44.84,260.0,16.53,2,227.0,142000,3430,0.78,266,345
airbus-a300b4,53.62,44.84,260.0,16.53,2,227.0,165000,6300,0.78,266,345
airbus-a300-600,54.08,44.84,260.0,16.62,2,274.0,171800,7500,0.78,266,345
airbus-a300-600r,54.08,44.84,260.0,16.62,2,274.0,171800,7500,0.78,266,345
airbus-a300-600st-beluga,56.15,44.84,260.0,17.24,2,253.98,155000,4630,0.70,0,0
airbus-a310-200,46.66,43.90,219.0,15.80,2,222.0,142000,6800,0.80,220,280
airbus-a310-300,46.66,43.90,219.0,15.80,2,262.4,164000,9540,0.80,220,280
airbus-a318-100,31.44,34.10,122.4,12.56,2,104.5,68000,5750,0.78,107,132
airbus-a319-100,33.84,35.80,122.4,11.76,2,104.5,75500,6950,0.78,124,156
airbus-a319neo,33.84,35.80,122.4,11.76,2,106.8,75500,6850,0.78,124,160
airbus-a320-200,37.57,35.80,122.4,11.76,2,120.0,78000,6100,0.78,150,180
airbus-a320neo,37.57,35.80,122.4,11.76,2,120.6,79000,6300,0.78,150,195
airbus-a321-100,44.51,35.80,122.4,11.76,2,138.0,83000,4300,0.78,185,220
airbus-a321-200,44.51,35.80,122.4,11.76,2,147.0,93500,5930,0.78,185,220
airbus-a321neo,44.51,35.80,122.4,11.76,2,147.3,97000,7400,0.78,206,244
airbus-a321lr,44.51,35.80,122.4,11.76,2,147.3,97000,7400,0.78,206,244
airbus-a321xlr,44.51,35.80,122.4,11.76,2,147.3,101000,8700,0.78,206,244
airbus-a330-200,58.82,60.30,361.6,17.39,2,311.0,242000,13450,0.82,246,406
airbus-a330-200f,58.82,60.30,361.6,16.90,2,311.0,233000,7400,0.82,0,0
airbus-a330-300,63.66,60.30,361.6,16.79,2,311.0,242000,11750,0.82,277,440
airbus-a330-800neo,58.82,64.00,361.6,17.39,2,320.0,251000,15094,0.86,257,406
airbus-a330-900neo,63.66,64.00,361.6,16.79,2,320.0,251000,13334,0.86,287,440
airbus-a340-200,59.39,60.30,361.6,16.70,4,151.0,275000,14800,0.82,261,420
airbus-a340-300,63.69,60.30,361.6,16.85,4,151.0,276500,13500,0.82,277,440
airbus-a340-500,67.90,63.45,439.4,17.10,4,240.0,380000,16670,0.82,313,375
airbus-a340-600,75.36,63.45,439.4,17.22,4,249.0,380000,14450,0.82,350,475
airbus-a350-900,66.80,64.75,442.0,17.05,2,374.0,283000,15372,0.85,315,440
airbus-a350-1000,73.79,64.75,460.0,17.08,2,431.0,319000,16112,0.85,369,480
airbus-a350f,70.80,64.75,460.0,17.08,2,431.0,319000,8700,0.85,0,0
airbus-a380-800,72.72,79.75,845.0,24.09,4,311.0,575000,14800,0.85,555,853
airbus-a400m-atlas,45.10,42.40,221.5,14.70,4,82.0,141000,8900,0.72,116,116
boeing-707-120,44.07,39.90,268.6,12.93,4,60.0,112037,5000,0.84,137,174
boeing-707-320b,46.61,44.42,283.4,12.93,4,80.0,151315,9300,0.84,141,189
boeing-707-320c,46.61,44.42,283.4,12.93,4,80.0,151315,6920,0.84,141,189
boeing-717-200,37.80,28.45,92.9,8.92,2,82.3,49895,3815,0.77,106,134
boeing-727-100,40.59,32.92,157.9,10.36,3,62.3,76771,4110,0.84,106,131
boeing-727-200,46.69,32.92,157.9,10.36,3,66.7,86400,3500,0.84,145,189
boeing-727-200-advanced,46.69,32.92,157.9,10.36,3,76.5,95027,4800,0.84,145,189
boeing-737-100,28.65,28.35,91.0,11.23,2,62.3,49440,3148,0.73,85,124
boeing-737-200,30.53,28.35,91.0,11.23,2,73.4,58100,4260,0.73,102,136
boeing-737-300,33.40,28.88,91.0,11.13,2,97.9,62822,4176,0.74,128,149
boeing-737-400,36.45,28.88,91.0,11.13,2,104.5,68038,4204,0.74,146,188
boeing-737-500,31.01,28.88,91.0,11.13,2,89.0,60555,4398,0.74,108,132
boeing-737-600,31.24,34.32,124.6,12.55,2,101.0,65540,5648,0.78,108,130
boeing-737-700,33.63,34.32,124.6,12.55,2,116.0,70080,5570,0.78,126,149
boeing-737-800,39.47,35.80,124.6,12.55,2,121.0,79015,5436,0.78,162,189
boeing-737-900,42.11,35.80,124.6,12.55,2,121.0,79015,5083,0.78,178,189
boeing-737-900er,42.11,35.80,124.6,12.55,2,121.0,85139,5460,0.78,178,220
boeing-737-max-7,35.56,35.92,127.0,12.30,2,125.0,80285,7130,0.79,138,172
boeing-737-max-8,39.52,35.92,127.0,12.30,2,130.0,82190,6570,0.79,162,210
boeing-737-max-8200,39.52,35.92,127.0,12.30,2,130.0,82190,6570,0.79,197,210
boeing-737-max-9,42.16,35.92,127.0,12.30,2,130.0,88314,6570,0.79,178,220
boeing-737-max-10,43.80,35.92,127.0,12.30,2,130.0,89765,6110,0.79,188,230
boeing-747-100,70.66,59.64,510.9,19.33,4,208.8,333390,8560,0.84,366,480
boeing-747-200b,70.66,59.64,510.9,19.33,4,236.2,377840,12150,0.84,366,480
boeing-747-200f,70.66,59.64,510.9,19.33,4,236.2,377840,6435,0.84,0,0
boeing-747-300,70.66,59.64,510.9,19.33,4,243.5,377840,11720,0.85,412,496
boeing-747-400,70.66,64.44,525.0,19.40,4,281.5,396890,13450,0.85,416,660
boeing-747-400er,70.66,64.44,525.0,19.40,4,281.5,412770,14205,0.85,416,660
boeing-747-400f,70.66,64.44,525.0,19.40,4,281.5,396890,8240,0.85,0,0
boeing-747-8i,76.25,68.40,554.0,19.40,4,296.0,447700,14320,0.85,467,605
boeing-747-8f,76.25,68.40,554.0,19.40,4,296.0,447700,8130,0.85,0,0
boeing-757-200,47.32,38.05,185.3,13.56,2,192.0,115680,7222,0.80,200,239
boeing-757-200pf,47.32,38.05,185.3,13.56,2,192.0,115680,5834,0.80,0,0
boeing-757-300,54.47,38.05,185.3,13.56,2,193.0,123830,6287,0.80,243,295
boeing-767-200,48.51,47.57,283.3,15.85,2,222.0,142880,7130,0.80,214,290
boeing-767-200er,48.51,47.57,283.3,15.85,2,265.0,179170,11825,0.80,214,290
boeing-767-300,54.94,47.57,283.3,15.85,2,265.0,158760,7290,0.80,269,350
boeing-767-300er,54.94,47.57,283.3,15.85,2,276.0,186880,11065,0.80,269,350
boeing-767-300f,54.94,47.57,283.3,15.85,2,276.0,186880,6025,0.80,0,0
boeing-767-400er,61.37,51.92,290.7,16.87,2,282.0,204110,10415,0.80,296,375
boeing-777-200,63.73,60.93,427.8,18.50,2,343.0,247200,9700,0.84,313,440
boeing-777-200er,63.73,60.93,427.8,18.50,2,415.0,297550,13080,0.84,313,440
boeing-777-200lr,63.73,64.80,436.8,18.50,2,489.0,347500,15843,0.84,317,440
boeing-777-300,73.86,60.93,427.8,18.50,2,436.0,299370,11165,0.84,396,550
boeing-777-300er,73.86,64.80,436.8,18.50,2,512.0,351534,13649,0.84,396,550
boeing-777f,63.73,64.80,436.8,18.50,2,489.0,347810,9200,0.84,0,0
boeing-777-8,69.79,71.75,516.7,19.48,2,466.0,351534,16110,0.84,395,440
boeing-777-9,76.72,71.75,516.7,19.68,2,466.0,351534,13500,0.84,426,550
boeing-787-8-dreamliner,56.72,60.12,377.0,16.92,2,280.0,227930,13620,0.85,242,359
boeing-787-9-dreamliner,63.00,60.12,377.0,17.02,2,320.0,254011,14140,0.85,290,406
boeing-787-10-dreamliner,68.28,60.12,377.0,17.02,2,340.0,254011,11910,0.85,330,440
